2017-07-17 13:40:43.959 [http-nio-8084-exec-3] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/u1.jpg] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 13:56:17.560 [main] WARN  org.beetl.ext.spring.BeetlSpringViewResolver-Beetl不建议使用使用spring前缀，会导致include,layout找不到对应的模板，请使用beetl的配置RESOURCE.ROOT来配置模板根目录
2017-07-17 13:56:18.425 [main] WARN  o.s.boot.starter.redis.RedisStarterDeprecationWarningAutoConfiguration-spring-boot-starter-redis is deprecated as of Spring Boot 1.4, please migrate to spring-boot-starter-data-redis
2017-07-17 14:08:49.461 [http-nio-8084-exec-9] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/listnews] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 14:08:59.545 [main] WARN  org.beetl.ext.spring.BeetlSpringViewResolver-Beetl不建议使用使用spring前缀，会导致include,layout找不到对应的模板，请使用beetl的配置RESOURCE.ROOT来配置模板根目录
2017-07-17 14:09:00.424 [main] WARN  o.s.boot.starter.redis.RedisStarterDeprecationWarningAutoConfiguration-spring-boot-starter-redis is deprecated as of Spring Boot 1.4, please migrate to spring-boot-starter-data-redis
2017-07-17 14:18:42.549 [http-nio-8084-exec-4] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/js/mui.min.js] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 14:18:42.555 [http-nio-8084-exec-4] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/t01d9a8207cdec0dd4b.jpg] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 14:18:42.615 [http-nio-8084-exec-5] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/t01d9a8207cdec0dd4b.jpg] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 14:18:42.647 [http-nio-8084-exec-8] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/js/mui.min.js] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 14:19:51.388 [http-nio-8084-exec-5] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/t01d9a8207cdec0dd4b.jpg] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 14:19:51.481 [http-nio-8084-exec-8] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/t01d9a8207cdec0dd4b.jpg] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 14:19:52.553 [http-nio-8084-exec-2] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/t01d9a8207cdec0dd4b.jpg] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 14:19:52.634 [http-nio-8084-exec-4] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/t01d9a8207cdec0dd4b.jpg] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 14:19:52.844 [http-nio-8084-exec-3] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/t01d9a8207cdec0dd4b.jpg] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 14:19:52.914 [http-nio-8084-exec-6] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/t01d9a8207cdec0dd4b.jpg] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 14:19:53.071 [http-nio-8084-exec-8] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/t01d9a8207cdec0dd4b.jpg] in DispatcherServlet with name 'dispatcherServlet'
2017-07-17 14:19:53.153 [http-nio-8084-exec-2] WARN  org.springframework.web.servlet.PageNotFound-No mapping found for HTTP request with URI [/phoneui/img/t01d9a8207cdec0dd4b.jpg] in DispatcherServlet with name 'dispatcherServlet'
